epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,21.7454,1.77385,4.09909,1.20219,0.00176,0.42857,0.00182,0.001,1.57201,4.04159,1.14643,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05,0.00020004,6.668e-05
2,39.3341,1.71805,4.10762,1.20175,0.00227,0.5,0.00221,0.00122,1.50957,4.00931,1.11063,0.000441178,0.000147059,0.000441178,0.000147059,0.000441178,0.000147059,0.000441178,0.000147059
3,52.4451,1.62357,4.04789,1.19614,0.00196,0.42857,0.0019,0.00103,1.45602,3.99892,1.08693,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138,0.000672414,0.000224138
4,67.7202,1.5545,4.07758,1.16886,0.00272,0.57143,0.00293,0.00164,1.32116,3.99073,1.0353,0.000893749,0.000297916,0.000893749,0.000297916,0.000893749,0.000297916,0.000893749,0.000297916
5,80.7669,1.46387,3.95854,1.13794,0.00299,0.64286,0.00393,0.00263,1.22454,3.9367,1.00817,0.00110518,0.000368394,0.00110518,0.000368394,0.00110518,0.000368394,0.00110518,0.000368394
6,91.4692,1.39197,3.97897,1.13355,0.003,0.64286,0.00454,0.00296,1.18368,3.9538,1.00433,0.00130671,0.00043557,0.00130671,0.00043557,0.00130671,0.00043557,0.00130671,0.00043557
7,104.436,1.18339,3.83606,1.01093,0.00369,0.78571,0.00678,0.00423,1.1119,3.89585,0.98357,0.00149834,0.000499447,0.00149834,0.000499447,0.00149834,0.000499447,0.00149834,0.000499447
8,115.238,1.15411,3.79164,1.02633,0.0037,0.78571,0.0077,0.00547,1.08141,3.85129,0.96208,0.00168007,0.000560022,0.00168007,0.000560022,0.00168007,0.000560022,0.00168007,0.000560022
9,126.015,1.05762,3.84445,0.97426,0.00372,0.78571,0.00821,0.00578,0.99946,3.83296,0.94071,0.00185189,0.000617297,0.00185189,0.000617297,0.00185189,0.000617297,0.00185189,0.000617297
10,139.909,1.15721,3.61383,1.00882,0.00406,0.85714,0.01455,0.00989,1.03488,3.77075,0.94262,0.00201381,0.000671271,0.00201381,0.000671271,0.00201381,0.000671271,0.00201381,0.000671271
11,151.669,1.05001,3.59072,1.00587,0.00435,0.92857,0.03651,0.01676,1.074,3.71101,0.93598,0.00216583,0.000721944,0.00216583,0.000721944,0.00216583,0.000721944,0.00216583,0.000721944
12,163.457,1.01908,3.49995,0.94605,0.00434,0.92857,0.072,0.02767,1.0718,3.63504,0.91011,0.00230795,0.000769317,0.00230795,0.000769317,0.00230795,0.000769317,0.00230795,0.000769317
13,174.436,1.05086,3.25957,0.95506,0.0047,1,0.23978,0.08211,1.00753,3.56995,0.87347,0.00244017,0.000813389,0.00244017,0.000813389,0.00244017,0.000813389,0.00244017,0.000813389
14,183.371,1.12249,3.21271,1.00794,0.0047,1,0.23978,0.08211,1.00753,3.56995,0.87347,0.00256248,0.000854161,0.00256248,0.000854161,0.00256248,0.000854161,0.00256248,0.000854161
15,194.764,1.07625,3.08641,0.94382,0.00469,1,0.4713,0.29148,0.99016,3.48201,0.86852,0.00267489,0.000891632,0.00267489,0.000891632,0.00267489,0.000891632,0.00267489,0.000891632
16,206.187,1.03826,2.79478,0.9083,0.00467,1,0.63207,0.3815,1.04668,3.39233,0.88051,0.00277741,0.000925802,0.00277741,0.000925802,0.00277741,0.000925802,0.00277741,0.000925802
